Genero,Edad,RangoEdad,EstadoCivil,Tienda,Categoria,Precio
Mujer,51,Adulto,Casado,San Isidro,Autoayuda,328
Mujer,43,Adulto,Casado,Surquillo,Novelas,116
Hombre,24,Joven,Casado,Miraflores,Autoayuda,105.6
Hombre,49,Adulto,Casado,San Borja,Infantil,47
Mujer,59,Adulto,Casado,Centro de Lima,Autoayuda,192
Mujer,40,Adulto,Soltero,Centro de Lima,Humanidad,88
Mujer,45,Adulto,Casado,Surquillo,Programación,72
Mujer,60,Adulto,Casado,Magdalena,Comics,124
Mujer,44,Adulto,Soltero,Surquillo,Comics,40
Hombre,26,Joven,Casado,Magdalena,Novelas,524
Hombre,30,Joven,Soltero,San Juan de Miraflores,Comics,85.6
Hombre,43,Adulto,Soltero,Centro de Lima,Autoayuda,124.8
Hombre,34,Adulto,Soltero,San Juan de Miraflores,Humanidad,292
Mujer,49,Adulto,Casado,Los Olivos,Tecnologia,228
Hombre,41,Adulto,Casado,Chorrillos,Academico,258
Hombre,60,Adulto,Casado,Jesus Maria,Comics,52
Mujer,51,Adulto,Casado,Santiago de Surco,Nutricion,65.6
Hombre,19,Joven,Soltero,Jesus Maria,Humanidad,111.2
Mujer,55,Adulto,Casado,Jesus Maria,Nutricion,114.4
Hombre,26,Joven,Soltero,Santiago de Surco,Infantil,146
Mujer,47,Adulto,Casado,San Juan de Miraflores,Comics,292
Hombre,50,Adulto,Casado,La Molina,Nutricion,52
Mujer,42,Adulto,Casado,Jesus Maria,Literatura Universal,24
Hombre,39,Adulto,Casado,Surquillo,Historia,112
Hombre,22,Joven,Casado,Surquillo,Literatura Universal,25.6
Mujer,35,Adulto,Soltero,Surquillo,Nutricion,260
Mujer,47,Adulto,Casado,Centro de Lima,Tecnologia,180
Hombre,49,Adulto,Soltero,Jesus Maria,Programación,43.2
Mujer,31,Adulto,Casado,San Juan de Miraflores,Novelas,356
Hombre,22,Joven,Soltero,San Isidro,Comics,76
Hombre,44,Adulto,Casado,Centro de Lima,Novelas,119
Hombre,23,Joven,Soltero,San Isidro,Programación,172
Hombre,32,Adulto,Casado,La Molina,Comics,148
Mujer,28,Joven,Soltero,Centro de Lima,Infantil,612
Hombre,26,Joven,Casado,Santiago de Surco,Tecnologia,90.4
Hombre,57,Adulto,Casado,Magdalena,Empresas,194.67
Hombre,49,Adulto,Soltero,Magdalena,Literatura Universal,266
Mujer,60,Adulto,Casado,Miraflores,Novelas,129
Mujer,55,Adulto,Casado,Centro de Lima,Humanidad,31
Hombre,52,Adulto,Casado,La Molina,Humanidad,40.8
Hombre,22,Joven,Casado,Magdalena,Programación,392
Hombre,54,Adulto,Soltero,Miraflores,Comics,70
Hombre,22,Joven,Soltero,Santiago de Surco,Autoayuda,504
Hombre,30,Joven,Soltero,La Molina,Humanidad,91
Mujer,22,Joven,Casado,Surquillo,Literatura  Peruana,180
Hombre,42,Adulto,Soltero,Jesus Maria,Programación,76
Mujer,45,Adulto,Casado,Centro de Lima,Autoayuda,108
Hombre,42,Adulto,Casado,Los Olivos,Empresas,71
Hombre,42,Adulto,Soltero,Miraflores,Literatura Universal,169.33
Hombre,51,Adulto,Casado,Miraflores,Academico,91.2
Mujer,28,Joven,Casado,Los Olivos,Programación,202
Hombre,35,Adulto,Soltero,Centro de Lima,Novelas,97.6
Mujer,39,Adulto,Casado,San Borja,Comics,404
Hombre,51,Adulto,Soltero,Santiago de Surco,Tecnologia,85
Hombre,36,Adulto,Soltero,San Juan de Miraflores,Novelas,532
Hombre,57,Adulto,Casado,San Isidro,Humanidad,58.4
Mujer,50,Adulto,Soltero,Chorrillos,Programación,67.2
Hombre,45,Adulto,Soltero,Magdalena,Novelas,142.67
Mujer,45,Adulto,Soltero,Surquillo,Literatura  Peruana,86
Mujer,22,Joven,Casado,Centro de Lima,Academico,300
Mujer,33,Adulto,Casado,San Juan de Miraflores,Programación,68
Mujer,23,Joven,Soltero,Centro de Lima,Programación,189.33
Mujer,30,Joven,Casado,Magdalena,Humanidad,396
Mujer,45,Adulto,Casado,Jesus Maria,Programación,42.4
Hombre,27,Joven,Soltero,Centro de Lima,Historia,388
Mujer,26,Joven,Soltero,Miraflores,Literatura  Peruana,188
Hombre,50,Adulto,Soltero,Jesus Maria,Autoayuda,96.8
Hombre,52,Adulto,Soltero,Miraflores,Comics,198.67
Mujer,24,Joven,Casado,Chorrillos,Autoayuda,122.4
Mujer,27,Joven,Soltero,San Isidro,Academico,57
Mujer,39,Adulto,Casado,Jesus Maria,Nutricion,94.4
Mujer,49,Adulto,Casado,Surquillo,Nutricion,28
Hombre,56,Adulto,Casado,San Juan de Miraflores,Programación,181.33
Mujer,18,Joven,Soltero,Centro de Lima,Tecnologia,476
Hombre,50,Adulto,Casado,Surquillo,Tecnologia,133
Mujer,49,Adulto,Soltero,Surquillo,Novelas,600
Mujer,21,Joven,Soltero,San Borja,Humanidad,59
Mujer,60,Adulto,Casado,San Isidro,Academico,600
Hombre,34,Adulto,Casado,Centro de Lima,Literatura  Peruana,158.67
Hombre,54,Adulto,Soltero,Magdalena,Academico,172
Mujer,43,Adulto,Soltero,Chorrillos,Academico,94.4
Mujer,60,Adulto,Soltero,Jesus Maria,Literatura  Peruana,540
Mujer,25,Joven,Soltero,Santiago de Surco,Humanidad,100
Hombre,59,Adulto,Soltero,San Isidro,Literatura  Peruana,17.33
Mujer,48,Adulto,Soltero,San Isidro,Nutricion,108
Mujer,51,Adulto,Casado,Surquillo,Novelas,57
Mujer,60,Adulto,Soltero,La Molina,Literatura Universal,210
Mujer,49,Adulto,Soltero,San Borja,Historia,43
Hombre,52,Adulto,Soltero,Santiago de Surco,Humanidad,109.33
Hombre,30,Joven,Casado,San Juan de Miraflores,Autoayuda,122
Mujer,24,Joven,Casado,Magdalena,Literatura  Peruana,524
Hombre,50,Adulto,Casado,Santiago de Surco,Literatura  Peruana,80
Mujer,38,Adulto,Casado,Los Olivos,Programación,316
Hombre,55,Adulto,Casado,Santiago de Surco,Historia,132
Hombre,30,Joven,Casado,San Borja,Autoayuda,496
Mujer,21,Joven,Casado,Magdalena,Literatura  Peruana,100
Hombre,43,Adulto,Casado,Santiago de Surco,Empresas,236
Hombre,44,Adulto,Soltero,Magdalena,Academico,41.6
Hombre,59,Adulto,Soltero,Surquillo,Historia,206.67
Mujer,23,Joven,Casado,La Molina,Nutricion,73.33
Hombre,35,Adulto,Casado,San Borja,Novelas,44.8
Hombre,22,Joven,Casado,La Molina,Historia,328
Mujer,29,Joven,Soltero,Santiago de Surco,Autoayuda,132
Hombre,37,Adulto,Casado,San Isidro,Novelas,404
Mujer,56,Adulto,Casado,Magdalena,Novelas,234
Hombre,58,Adulto,Soltero,Chorrillos,Tecnologia,116.8
Hombre,49,Adulto,Soltero,San Juan de Miraflores,Literatura Universal,16
Mujer,49,Adulto,Soltero,San Isidro,Infantil,286
Mujer,22,Joven,Soltero,San Borja,Historia,256
Hombre,34,Adulto,Soltero,Miraflores,Literatura Universal,242
Hombre,40,Adulto,Soltero,San Juan de Miraflores,Academico,57.33
Hombre,38,Adulto,Soltero,Centro de Lima,Infantil,56
Hombre,32,Adulto,Casado,La Molina,Novelas,46
Hombre,30,Joven,Soltero,Magdalena,Literatura Universal,129.33
Mujer,41,Adulto,Soltero,Jesus Maria,Infantil,36.8
Mujer,50,Adulto,Casado,Chorrillos,Novelas,112
Hombre,26,Joven,Casado,Magdalena,Programación,84
Hombre,51,Adulto,Soltero,Centro de Lima,Literatura Universal,78
Hombre,30,Joven,Casado,San Borja,Humanidad,96
Mujer,43,Adulto,Soltero,Surquillo,Tecnologia,50
Mujer,38,Adulto,Casado,San Juan de Miraflores,Literatura  Peruana,17.6
Hombre,31,Adulto,Casado,Miraflores,Nutricion,256
Mujer,42,Adulto,Soltero,La Molina,Humanidad,64
Hombre,25,Joven,Casado,San Juan de Miraflores,Autoayuda,87
Mujer,39,Adulto,Soltero,San Isidro,Historia,432
Hombre,34,Adulto,Soltero,Los Olivos,Academico,146
Mujer,36,Adulto,Casado,San Isidro,Comics,77.33
Hombre,30,Joven,Soltero,Jesus Maria,Novelas,248
Mujer,37,Adulto,Casado,Chorrillos,Empresas,33.33
Hombre,31,Adulto,Soltero,San Juan de Miraflores,Autoayuda,152
Hombre,18,Joven,Casado,Chorrillos,Autoayuda,172
Hombre,54,Adulto,Soltero,San Isidro,Comics,99.2
Mujer,40,Adulto,Soltero,Miraflores,Tecnologia,152
Mujer,34,Adulto,Casado,San Isidro,Tecnologia,34.67
Mujer,51,Adulto,Casado,Surquillo,Academico,572
Mujer,20,Joven,Soltero,Magdalena,Literatura Universal,41.33
Mujer,35,Adulto,Soltero,Centro de Lima,Humanidad,94
Mujer,19,Joven,Casado,San Juan de Miraflores,Nutricion,122.67
Hombre,28,Joven,Soltero,Magdalena,Infantil,64.8
Hombre,53,Adulto,Soltero,Centro de Lima,Humanidad,118.67
Hombre,43,Adulto,Casado,Miraflores,Programación,26
Hombre,21,Joven,Casado,Chorrillos,Literatura Universal,50.67
Mujer,38,Adulto,Casado,San Borja,Tecnologia,520
Mujer,20,Joven,Soltero,Los Olivos,Programación,141.33
Mujer,32,Adulto,Soltero,San Isidro,Academico,32
Mujer,25,Joven,Casado,Santiago de Surco,Literatura  Peruana,149.33
Mujer,30,Joven,Soltero,La Molina,Programación,164
Mujer,19,Joven,Casado,San Isidro,Programación,75
Hombre,58,Adulto,Soltero,Miraflores,Nutricion,126.67
Mujer,25,Joven,Soltero,Chorrillos,Nutricion,113.33
Mujer,21,Joven,Soltero,La Molina,Novelas,28
Hombre,33,Adulto,Soltero,Jesus Maria,Literatura  Peruana,123
Hombre,30,Joven,Casado,Magdalena,Tecnologia,83
Hombre,21,Joven,Soltero,San Juan de Miraflores,Literatura Universal,127
Hombre,18,Joven,Soltero,Chorrillos,Literatura Universal,157.33
Hombre,39,Adulto,Soltero,San Borja,Tecnologia,258
Mujer,18,Joven,Casado,La Molina,Empresas,52
Mujer,56,Adulto,Soltero,Centro de Lima,Historia,232
Mujer,45,Adulto,Casado,Jesus Maria,Humanidad,120.8
Mujer,45,Adulto,Soltero,Centro de Lima,Infantil,89.6
Mujer,60,Adulto,Casado,Centro de Lima,Tecnologia,108
Hombre,52,Adulto,Casado,Los Olivos,Novelas,206
Mujer,54,Adulto,Casado,Jesus Maria,Comics,135
Mujer,45,Adulto,Casado,Santiago de Surco,Comics,560
Mujer,19,Joven,Casado,San Juan de Miraflores,Literatura Universal,40
Hombre,44,Adulto,Casado,Magdalena,Autoayuda,194
Mujer,60,Adulto,Casado,Chorrillos,Autoayuda,110.4
Mujer,30,Joven,Soltero,San Juan de Miraflores,Humanidad,172
Hombre,21,Joven,Casado,San Borja,Literatura Universal,14.67
Mujer,22,Joven,Soltero,San Isidro,Infantil,528
Hombre,26,Joven,Soltero,Los Olivos,Autoayuda,18
Mujer,59,Adulto,Casado,Jesus Maria,Comics,248
Hombre,33,Adulto,Casado,Centro de Lima,Programación,134
Mujer,49,Adulto,Casado,Centro de Lima,Novelas,204
Mujer,34,Adulto,Casado,Santiago de Surco,Empresas,616
Mujer,58,Adulto,Casado,Surquillo,Comics,98
Mujer,42,Adulto,Casado,Surquillo,Nutricion,153.33
Hombre,45,Adulto,Soltero,San Borja,Historia,48
Mujer,36,Adulto,Casado,Surquillo,Academico,131
Mujer,22,Joven,Soltero,Jesus Maria,Humanidad,34
Hombre,27,Joven,Soltero,La Molina,Novelas,157
Hombre,55,Adulto,Soltero,Santiago de Surco,Humanidad,33.33
Hombre,34,Adulto,Soltero,San Juan de Miraflores,Literatura Universal,150.67
Mujer,35,Adulto,Soltero,Jesus Maria,Empresas,92
Hombre,21,Joven,Casado,Santiago de Surco,Autoayuda,36
Hombre,58,Adulto,Soltero,Chorrillos,Autoayuda,103.2
Mujer,47,Adulto,Soltero,Chorrillos,Empresas,616
Mujer,47,Adulto,Casado,San Juan de Miraflores,Academico,60
Mujer,41,Adulto,Casado,Miraflores,Tecnologia,74
Hombre,39,Adulto,Casado,San Juan de Miraflores,Nutricion,236
Hombre,26,Joven,Soltero,Surquillo,Infantil,86
Hombre,41,Adulto,Casado,Centro de Lima,Programación,196
Hombre,27,Joven,Casado,Chorrillos,Literatura  Peruana,540
Hombre,45,Adulto,Casado,Miraflores,Academico,188
Hombre,53,Adulto,Soltero,Jesus Maria,Literatura Universal,496
Hombre,58,Adulto,Casado,Miraflores,Literatura  Peruana,102.67
Hombre,30,Joven,Casado,San Borja,Academico,198
Hombre,37,Adulto,Soltero,San Juan de Miraflores,Literatura  Peruana,196
Mujer,48,Adulto,Soltero,Centro de Lima,Tecnologia,102.4
Hombre,21,Joven,Soltero,Los Olivos,Literatura  Peruana,28
Mujer,53,Adulto,Casado,Chorrillos,Autoayuda,204
Mujer,21,Joven,Casado,Surquillo,Literatura  Peruana,144
Hombre,27,Joven,Casado,Magdalena,Academico,101
Hombre,47,Adulto,Soltero,Miraflores,Programación,68.8
Hombre,51,Adulto,Casado,La Molina,Academico,102
Mujer,41,Adulto,Soltero,Jesus Maria,Historia,226
Mujer,36,Adulto,Soltero,Santiago de Surco,Comics,452
Hombre,26,Joven,Casado,Los Olivos,Autoayuda,100
Mujer,35,Adulto,Casado,Chorrillos,Literatura  Peruana,156
Mujer,20,Joven,Soltero,Magdalena,Literatura  Peruana,112.8
Hombre,49,Adulto,Soltero,Los Olivos,Historia,348
Mujer,24,Joven,Casado,Chorrillos,Academico,48
Mujer,40,Adulto,Casado,San Juan de Miraflores,Programación,125.6
Hombre,22,Joven,Soltero,Jesus Maria,Infantil,448
Mujer,58,Adulto,Casado,Miraflores,Novelas,36
Mujer,57,Adulto,Soltero,Centro de Lima,Tecnologia,222
Hombre,60,Adulto,Casado,San Borja,Literatura Universal,40.8
Hombre,39,Adulto,Soltero,Santiago de Surco,Academico,25.33
Mujer,52,Adulto,Soltero,Jesus Maria,Nutricion,62
Hombre,43,Adulto,Soltero,San Isidro,Academico,240
Mujer,57,Adulto,Soltero,Santiago de Surco,Autoayuda,190.67
Mujer,45,Adulto,Soltero,La Molina,Nutricion,292
Hombre,56,Adulto,Soltero,Santiago de Surco,Historia,80
Mujer,34,Adulto,Soltero,Jesus Maria,Humanidad,93.33
Hombre,57,Adulto,Casado,San Borja,Novelas,136
Hombre,20,Joven,Soltero,La Molina,Autoayuda,448
Hombre,18,Joven,Casado,Jesus Maria,Infantil,144
Hombre,28,Joven,Casado,San Borja,Empresas,128
Hombre,40,Adulto,Soltero,San Isidro,Comics,56
Hombre,40,Adulto,Soltero,San Isidro,Literatura  Peruana,33.33
Mujer,26,Joven,Casado,Santiago de Surco,Autoayuda,74
Mujer,41,Adulto,Soltero,La Molina,Programación,616
Mujer,51,Adulto,Casado,Surquillo,Programación,67.2
Hombre,43,Adulto,Soltero,Miraflores,Autoayuda,492
Mujer,52,Adulto,Soltero,San Borja,Novelas,63.2
Hombre,50,Adulto,Soltero,Chorrillos,Academico,276
Hombre,27,Joven,Casado,La Molina,Literatura  Peruana,128
Mujer,25,Joven,Casado,Jesus Maria,Academico,21.6
Hombre,34,Adulto,Soltero,La Molina,Comics,226
Hombre,49,Adulto,Casado,San Juan de Miraflores,Literatura  Peruana,60.8
Mujer,50,Adulto,Soltero,San Isidro,Programación,34.67
Hombre,39,Adulto,Soltero,Los Olivos,Literatura  Peruana,42.4
Hombre,53,Adulto,Casado,San Isidro,Infantil,201.33
Hombre,57,Adulto,Casado,La Molina,Literatura  Peruana,56
Mujer,46,Adulto,Soltero,Chorrillos,Tecnologia,81.33
Mujer,50,Adulto,Casado,San Borja,Academico,178
Hombre,59,Adulto,Soltero,Santiago de Surco,Autoayuda,268
Mujer,28,Joven,Soltero,La Molina,Literatura  Peruana,89
Mujer,25,Joven,Soltero,Santiago de Surco,Infantil,180
Mujer,19,Joven,Casado,San Juan de Miraflores,Tecnologia,166
Hombre,44,Adulto,Soltero,San Borja,Nutricion,111.2
Mujer,25,Joven,Soltero,Los Olivos,Literatura Universal,102.4
Hombre,23,Joven,Casado,Santiago de Surco,Comics,48
Mujer,40,Adulto,Soltero,Magdalena,Infantil,260
Mujer,35,Adulto,Casado,Centro de Lima,Historia,180
Hombre,24,Joven,Soltero,San Juan de Miraflores,Novelas,58
Mujer,27,Joven,Casado,Jesus Maria,Literatura  Peruana,208
Mujer,41,Adulto,Casado,Surquillo,Humanidad,236
Hombre,32,Adulto,Soltero,Surquillo,Humanidad,58.4
Mujer,28,Joven,Casado,San Borja,Historia,119
